,mots,poids,serie
0,be,9032.61518569603,dirt
1,you,5498.794500747771,dirt
2,to,3020.9958071867804,dirt
3,not,2803.82037760383,dirt
4,the,2670.73184523939,dirt
5,it,2438.5267319659683,dirt
6,do,2370.461595524416,dirt
7,that,1941.6717593522012,dirt
8,have,1551.0973953279884,dirt
9,and,1470.9760102579944,dirt
10,get,1408.3041467104663,dirt
11,she,1364.7861664861246,dirt
12,what,1267.3464085524433,dirt
13,know,1233.1892148463608,dirt
14,we,1161.7511637401526,dirt
15,this,1136.20963754933,dirt
16,of,1067.9284117908192,dirt
17,go,1054.94069583053,dirt
18,in,1017.2762763623927,dirt
19,your,983.4793429689063,dirt
20,my,965.8511627823024,dirt
21,he,916.8179409698346,dirt
22,just,898.5482254913517,dirt
23,for,847.7179027122165,dirt
24,on,809.0,dirt
25,they,771.0421813230838,dirt
26,want,767.5101761765237,dirt
27,no,750.0115981480867,dirt
28,with,745.9533371589653,dirt
29,so,714.8960605543166,dirt
30,right,704.5189467344953,dirt
31,okay,693.1131065461203,dirt
32,will,691.9939871243403,dirt
33,can,679.2198655938325,dirt
34,lucy,655.2316583628204,dirt
35,well,625.0433235487505,dirt
36,like,622.5919094884401,dirt
37,all,581.3726304642962,dirt
38,think,576.6024659737225,dirt
39,yeah,575.5621262830982,dirt
40,here,572.0864940780581,dirt
41,come,562.9836506860115,dirt
42,about,557.8581662371246,dirt
43,holt,552.183231787641,dirt
44,if,520.5040906115828,dirt
45,would,509.2718547474178,dirt
46,out,507.24361913005504,dirt
47,but,457.6320193708527,dirt
48,say,454.2467747502887,dirt
49,how,441.8947189788399,dirt
50,see,440.81193470533873,dirt
51,oh,436.7365292522488,dirt
52,tell,432.01389535849063,dirt
53,good,429.048858934018,dirt
54,her,427.7883157246118,dirt
55,there,410.2376574518177,dirt
56,look,409.1351310735151,dirt
57,really,405.94261050954316,dirt
58,at,405.0303093615437,dirt
59,who,395.9262008241423,dirt
60,one,395.3814246142196,dirt
61,spiller,391.2490029757714,dirt
62,now,382.67287214904,dirt
63,shit,382.0765389307315,dirt
64,up,381.85794444060946,dirt
65,sharlee,374.4520048819935,dirt
66,take,367.7736943638797,dirt
67,make,361.8789528068073,dirt
68,thank,354.81966434143015,dirt
69,give,353.1658233443677,dirt
70,don,340.88621568832014,dirt
71,his,337.664343515735,dirt
72,story,336.4627582265686,dirt
73,need,335.96078640745344,dirt
74,sorry,333.3516344179877,dirt
75,god,332.97462729291,dirt
76,could,324.9125574768183,dirt
77,when,314.89059625396857,dirt
78,some,298.68281079471035,dirt
79,let,296.7798410242621,dirt
80,call,294.88311093612276,dirt
81,cover,294.5979781917379,dirt
82,julia,293.013304529643,dirt
83,from,285.9037477846191,dirt
84,hey,280.84120121525547,dirt
85,ve,278.621230575957,dirt
86,why,278.4594954804852,dirt
87,mean,276.48847093760224,dirt
88,love,271.20994451814886,dirt
89,work,261.69193816849645,dirt
90,talk,260.8368967094065,dirt
91,back,248.99826448933166,dirt
92,great,243.88564085072005,dirt
93,time,220.04706167878774,dirt
94,should,219.10391066194404,dirt
95,because,214.84493437187515,dirt
96,people,214.42781083846432,dirt
97,little,212.68681108980272,dirt
98,willa,210.16039614595215,dirt
99,thing,208.76276792001445,dirt
100,over,206.69376934774962,dirt
101,something,206.2642967710877,dirt
102,konkey,206.21994471761963,dirt
103,guy,203.91682316761734,dirt
104,please,196.3925040487875,dirt
105,anything,195.5099380454483,dirt
106,aundre,189.9394227662286,dirt
107,then,187.51299706462518,dirt
108,find,185.2158540206017,dirt
109,an,185.0,dirt
110,dirtnow,184.51258211576493,dirt
111,yes,175.68397293940438,dirt
112,or,174.43148727517544,dirt
113,magazine,174.16063956609008,dirt
114,our,171.1629545211789,dirt
115,mclaren,168.91471384550954,dirt
116,much,164.9775559643089,dirt
117,never,164.1642348513882,dirt
118,way,162.5456881326702,dirt
119,maybe,161.875277280093,dirt
120,off,161.03993963673278,dirt
121,mallory,159.34221999017754,dirt
122,kira,157.58130528440756,dirt
123,two,156.52579595321544,dirt
124,hi,154.4029333106498,dirt
125,man,152.5915435569139,dirt
126,brent,152.49240423303831,dirt
127,too,151.65881424683624,dirt
