,mots,poids,serie
0,be,31317.954689532828,intreatment
1,you,20104.16208563953,intreatment
2,to,11462.692806626905,intreatment
3,not,11269.920061363497,intreatment
4,that,10394.134947225974,intreatment
5,do,8931.310183137113,intreatment
6,it,8888.66164189136,intreatment
7,the,7601.313713373649,intreatment
8,and,6599.662114577783,intreatment
9,have,5761.879688211424,intreatment
10,what,5651.024930823269,intreatment
11,she,5421.274398784798,intreatment
12,he,5034.693755291782,intreatment
13,know,4084.299273844649,intreatment
14,of,3925.445950006859,intreatment
15,think,3561.1843359190066,intreatment
16,this,3506.0183101522184,intreatment
17,say,3469.0763962093965,intreatment
18,my,3386.3763970549107,intreatment
19,in,3285.9022143788516,intreatment
20,about,3173.8196977302728,intreatment
21,your,3159.1765017001194,intreatment
22,so,3149.1102859350417,intreatment
23,with,3034.481877197602,intreatment
24,we,3016.939924018985,intreatment
25,like,2959.108890824965,intreatment
26,for,2923.887475488503,intreatment
27,just,2878.76113948888,intreatment
28,would,2877.464813975348,intreatment
29,go,2794.5784778972215,intreatment
30,they,2688.8013199380625,intreatment
31,want,2677.0754945037147,intreatment
32,get,2537.040485103674,intreatment
33,tell,2339.8124843503656,intreatment
34,can,2205.063280826846,intreatment
35,but,1908.1440807687754,intreatment
36,at,1890.60860667378,intreatment
37,how,1876.1673392821733,intreatment
38,if,1837.580739783433,intreatment
39,there,1774.384331539004,intreatment
40,on,1770.0,intreatment
41,feel,1751.5374165930364,intreatment
42,really,1681.3056151812575,intreatment
43,come,1679.0987381710293,intreatment
44,no,1640.9344662512685,intreatment
45,why,1619.4208647775704,intreatment
46,ve,1602.0720758117527,intreatment
47,when,1570.1394114581447,intreatment
48,talk,1556.129213323164,intreatment
49,here,1541.286219417747,intreatment
50,all,1537.9045224675187,intreatment
51,see,1496.6398332951019,intreatment
52,well,1411.0353029113046,intreatment
53,could,1356.156761642372,intreatment
54,make,1333.3963074375306,intreatment
55,will,1329.689175988924,intreatment
56,out,1327.6005834021194,intreatment
57,mean,1324.9071815449263,intreatment
58,because,1285.814379952889,intreatment
59,his,1236.560746573605,intreatment
60,take,1204.982104297915,intreatment
61,maybe,1203.4364048297823,intreatment
62,up,1197.3316872369712,intreatment
63,who,1183.427765100733,intreatment
64,right,1182.8582749945756,intreatment
65,her,1171.3251501983418,intreatment
66,thing,1112.8897554559594,intreatment
67,something,1082.8875580482104,intreatment
68,time,1067.7693484741176,intreatment
69,try,1067.597101655019,intreatment
70,from,1045.5107639574796,intreatment
71,then,1045.3849586352853,intreatment
72,happen,1013.51567720852,intreatment
73,now,992.0613704392094,intreatment
74,fuck,949.5071254994717,intreatment
75,father,927.3588807025459,intreatment
76,look,910.4519429135937,intreatment
77,one,906.2963823949319,intreatment
78,okay,895.673000506915,intreatment
79,back,862.3203054420013,intreatment
80,or,861.4561181381364,intreatment
81,some,857.1574413952366,intreatment
82,need,853.1841366440445,intreatment
83,leave,846.4008311925811,intreatment
84,good,833.5025603495254,intreatment
85,paul,774.4126558229019,intreatment
86,never,766.6160023720486,intreatment
87,let,746.3572239620057,intreatment
88,an,732.0,intreatment
89,ask,724.3509882331434,intreatment
90,yeah,703.4648210126755,intreatment
91,call,702.7588157823487,intreatment
92,should,698.1893272585829,intreatment
93,as,689.0,intreatment
94,fucking,679.6101314309428,intreatment
95,laura,669.4483457694637,intreatment
96,over,660.0421034504805,intreatment
97,even,655.6975538403066,intreatment
98,way,634.2948281267355,intreatment
99,year,627.3784427709397,intreatment
100,dad,609.4235271383483,intreatment
101,other,609.3449592984183,intreatment
102,where,604.7774140290608,intreatment
103,therapy,602.5760796859811,intreatment
104,mother,600.0415906068006,intreatment
105,love,597.7413205051739,intreatment
106,into,597.5666654776203,intreatment
107,week,596.88575799307,intreatment
108,last,583.0558569183459,intreatment
109,too,576.6038086216349,intreatment
110,life,575.5621262830982,intreatment
111,give,574.4830726401715,intreatment
112,very,569.3177128486934,intreatment
113,everything,566.3885261363888,intreatment
114,yourself,565.7459185748704,intreatment
115,yes,558.5849396022088,intreatment
116,sorry,556.1361425686231,intreatment
117,work,545.860484523244,intreatment
118,before,539.8069549258568,intreatment
119,remember,539.3418830343703,intreatment
120,more,536.245446342577,intreatment
121,anything,532.922250478722,intreatment
122,patient,528.1507752528402,intreatment
123,therapist,524.2269309769989,intreatment
124,actually,508.9809760235939,intreatment
125,help,504.5417756011569,intreatment
126,off,496.06052834529294,intreatment
127,keep,495.73269167153614,intreatment
128,people,493.32411382444076,intreatment
129,kid,489.037012917654,intreatment
130,always,488.0326766876427,intreatment
131,start,487.50877225228635,intreatment
132,little,485.9571380657917,intreatment
133,away,480.50317385136236,intreatment
134,hear,480.03613197779407,intreatment
135,kind,479.4597761923738,intreatment
136,any,476.8906497799956,intreatment
137,myself,470.3801972232721,intreatment
138,understand,469.19093229536503,intreatment
139,thank,458.986905249006,intreatment
140,gina,458.77002424210986,intreatment
141,our,456.94395894493294,intreatment
142,home,456.0599791699338,intreatment
143,use,445.966000135559,intreatment
144,alex,445.0507551428168,intreatment
145,day,436.0772631781462,intreatment
146,after,430.0802243948162,intreatment
147,by,424.7976493639721,intreatment
148,kate,423.37593682867816,intreatment
149,still,421.90424339540664,intreatment
150,nothing,415.3557837613941,intreatment
151,much,413.21481306948397,intreatment
152,first,411.06307161545357,intreatment
153,their,410.4110565384176,intreatment
154,cy,409.6181810753606,intreatment
155,again,407.763777693935,intreatment
156,sleep,406.18441936582576,intreatment
157,sophie,403.27697247807635,intreatment
158,sit,402.5176885182763,intreatment
159,ever,402.5176885182763,intreatment
160,session,391.4755885568747,intreatment
161,two,387.6573451177765,intreatment
162,guy,385.98541528156136,intreatment
163,find,381.4190892119171,intreatment
164,sure,375.7905044680097,intreatment
165,anyway,364.70649112066974,intreatment
166,man,364.2148521394953,intreatment
167,might,362.95773003733456,intreatment
168,else,359.67955167392466,intreatment
169,these,359.2589326572691,intreatment
170,down,353.1752178515883,intreatment
171,only,352.7745798022027,intreatment
172,amy,352.75854809609143,intreatment
173,around,348.4632792604954,intreatment
174,night,345.11648685456754,intreatment
175,than,343.6514652962359,intreatment
176,meet,342.06048629023485,intreatment
177,old,341.91078493113406,intreatment
178,oliver,341.52544104117334,intreatment
179,those,339.95265688171025,intreatment
180,mom,336.45938802356255,intreatment
181,jake,336.25317053463857,intreatment
182,stop,334.19253199753916,intreatment
183,rosie,332.7763403590242,intreatment
184,shit,332.7763403590242,intreatment
185,both,331.5836977352403,intreatment
186,child,329.3326542422261,intreatment
187,angry,328.4746661101005,intreatment
188,care,327.8487769201533,intreatment
189,please,327.8487769201533,intreatment
190,wait,324.9520237805355,intreatment
191,stay,324.4344485568396,intreatment
192,school,324.4182588494386,intreatment
193,bad,322.4229261525859,intreatment
194,live,322.0228320348525,intreatment
195,somebody,311.4747800020109,intreatment
196,through,309.74383934224187,intreatment
197,put,307.822345748529,intreatment
198,turn,306.8542567631192,intreatment
199,next,304.30132663726494,intreatment
200,another,303.8769901462086,intreatment
201,woman,303.34027606163056,intreatment
202,die,303.1427935656888,intreatment
203,same,302.73604388764227,intreatment
204,seem,300.6051360278106,intreatment
205,believe,297.5888935856255,intreatment
206,friend,294.72306667019467,intreatment
207,fine,293.25125122893536,intreatment
208,wanna,291.91644766462747,intreatment
209,listen,291.6320689248038,intreatment
210,guess,288.15581251522934,intreatment
211,every,285.3814418244044,intreatment
212,run,281.58947195872753,intreatment
213,wife,278.53030609760185,intreatment
214,whole,277.74665830153305,intreatment
215,pretty,277.5323371362206,intreatment
216,own,277.4979765806363,intreatment
217,already,274.83068823706844,intreatment
218,feeling,269.1256576431505,intreatment
219,lose,267.7244768636915,intreatment
220,kill,265.197566596833,intreatment
221,great,265.09308788121746,intreatment
222,room,262.36419415123754,intreatment
223,bullshit,259.31321126997915,intreatment
224,hard,257.8739685900486,intreatment
225,sex,256.93085120684776,intreatment
226,someone,256.14761996617585,intreatment
227,god,255.53866745734953,intreatment
228,together,255.07619450196472,intreatment
229,sometimes,253.8711437536521,intreatment
230,must,253.56926124759266,intreatment
231,long,253.0,intreatment
232,us,248.22031770035207,intreatment
233,problem,244.47376241869532,intreatment
234,bring,243.53250606275554,intreatment
235,house,242.45759003303482,intreatment
236,suppose,239.75604159214126,intreatment
237,few,239.29944255533982,intreatment
238,fall,236.78317706374696,intreatment
239,today,236.45722521247905,intreatment
240,walk,235.4053179001038,intreatment
241,sound,234.312021510694,intreatment
242,michaela,233.72433153696048,intreatment
243,between,229.3855306143579,intreatment
244,since,229.3855306143579,intreatment
245,write,228.4929640525841,intreatment
246,wrong,227.5099978581562,intreatment
247,move,227.2794297164942,intreatment
248,head,227.241927509866,intreatment
249,mind,226.11300271983654,intreatment
250,while,224.00922209467413,intreatment
251,anymore,223.19583165919497,intreatment
252,month,222.78450815063536,intreatment
253,treatment,222.356174724159,intreatment
254,without,221.96440801498954,intreatment
255,lot,221.34582801048285,intreatment
256,lenny,218.5879389199128,intreatment
257,each,218.47258520053995,intreatment
258,which,214.84493437187515,intreatment
259,course,214.73743112457697,intreatment
260,place,214.0,intreatment
261,big,212.30667796422185,intreatment
262,afraid,211.53634791580419,intreatment
263,fight,208.71856614168553,intreatment
264,matter,208.45571170047495,intreatment
265,person,206.53942631149386,intreatment
266,enough,205.33137706817664,intreatment
267,speak,204.6316963753984,intreatment
268,late,204.38797636375378,intreatment
269,answer,202.98144075946777,intreatment
270,oh,201.80239627517702,intreatment
271,andrew,200.64083765006495,intreatment
272,idea,198.03067391167588,intreatment
273,girl,198.0026030271611,intreatment
274,fly,197.79987932910265,intreatment
275,relationship,196.53405124260536,intreatment
276,whatever,195.63438166379177,intreatment
277,eat,195.31357670170468,intreatment
278,real,192.85693728837595,intreatment
279,probably,189.88302096379275,intreatment
280,door,186.78547990213224,intreatment
281,ago,186.47888460016145,intreatment
282,worry,184.02895224305837,intreatment
283,hell,183.2929350492989,intreatment
284,doctor,183.08013215834904,intreatment
285,become,182.43047147547304,intreatment
286,bess,182.2864672955299,intreatment
287,everybody,182.2461800337177,intreatment
288,deal,181.36838471749414,intreatment
289,realize,179.87193294008623,intreatment
290,minute,179.42400759473958,intreatment
291,tammy,179.2454576072556,intreatment
292,daughter,176.50247699026622,intreatment
293,watch,175.78221903153423,intreatment
294,family,175.71884682412127,intreatment
295,fault,175.67378734675182,intreatment
296,also,174.95610776737323,intreatment
297,most,170.83570572072296,intreatment
298,read,170.76560433364875,intreatment
299,abortion,169.62094114925702,intreatment
300,world,167.82367401098355,intreatment
301,end,167.06806208347112,intreatment
302,such,166.7805887128231,intreatment
303,early,163.75814535697322,intreatment
304,couple,161.54436562884206,intreatment
305,happy,161.12637203772934,intreatment
306,hand,158.67437044861538,intreatment
307,once,158.55298788308446,intreatment
308,play,157.8684751672807,intreatment
309,decide,157.19934750855697,intreatment
310,marry,157.09290599276846,intreatment
311,exactly,156.3577242986069,intreatment
312,everyone,156.25086136136375,intreatment
313,crazy,155.56396395557832,intreatment
314,baby,155.4592663731496,intreatment
315,hour,154.9376778476359,intreatment
316,yet,153.95488611951933,intreatment
317,name,153.1356142694439,intreatment
318,bit,153.1356142694439,intreatment
319,cause,153.0,intreatment
320,parent,152.97643282924597,intreatment
321,coffee,152.9392257291007,intreatment
322,bed,152.82406653676688,intreatment
323,break,152.6521472096821,intreatment
324,stuff,152.0646544146328,intreatment
325,forget,151.123893522178,intreatment
326,morning,150.89704503691098,intreatment
327,alone,150.89704503691098,intreatment
328,hate,149.77265592793296,intreatment
329,close,149.3091371293691,intreatment
330,many,148.5230054337569,intreatment
331,until,146.87274981782627,intreatment
332,hurt,145.4361321116867,intreatment
333,anyone,145.1518248056159,intreatment
334,new,144.46779620950113,intreatment
335,mia,144.43648956441098,intreatment
336,nice,144.40558110080812,intreatment
337,word,144.40558110080812,intreatment
338,true,144.03088529414245,intreatment
339,worried,143.23439537624677,intreatment
340,drive,142.87003134686833,intreatment
341,finally,141.92198297003438,intreatment
342,tired,139.6253364063601,intreatment
343,pick,139.55542242087105,intreatment
344,daniel,138.74898829031815,intreatment
345,though,138.6214717381731,intreatment
346,cry,138.24816438591927,intreatment
347,sense,138.07031763290016,intreatment
348,treat,137.8637999192018,intreatment
349,truth,137.17229524156454,intreatment
350,office,136.93941724723226,intreatment
351,wake,136.34003437326928,intreatment
352,hold,134.79648670190767,intreatment
353,face,134.53493085011803,intreatment
354,able,133.8738140169733,intreatment
355,shrink,133.29930768905393,intreatment
356,lie,132.85246882155351,intreatment
357,boy,132.7143281701489,intreatment
358,may,132.3011579112127,intreatment
359,reason,131.58560224683882,intreatment
360,different,131.5229547863094,intreatment
361,hit,131.42869722161953,intreatment
362,car,131.0969252591433,intreatment
363,drink,130.8083048728024,intreatment
364,part,130.0,intreatment
365,control,129.90045655625184,intreatment
366,suddenly,129.85285528529283,intreatment
367,pay,129.5280954579231,intreatment
368,natalie,129.36030519988574,intreatment
369,describe,128.47895530636043,intreatment
370,ready,127.65972362806751,intreatment
371,eye,127.07627452496423,intreatment
372,phone,126.13544390028923,intreatment
373,interested,125.6645282910925,intreatment
374,least,125.5067006409125,intreatment
375,bathroom,125.29866890954203,intreatment
376,sick,125.06860661443375,intreatment
377,previously,124.84748548021767,intreatment
378,dinner,123.62134502438175,intreatment
379,question,123.0,intreatment
380,yours,122.73240724514307,intreatment
381,book,122.59123145462657,intreatment
382,fact,122.15985529048817,intreatment
383,attack,120.44337229938455,intreatment
384,anybody,119.93114328480172,intreatment
385,death,119.67059395780673,intreatment
386,son,119.47505053107496,intreatment
387,easy,119.29156699631976,intreatment
388,upset,118.75040232937731,intreatment
389,three,118.67751738853333,intreatment
390,discuss,118.18136135178219,intreatment
391,funny,117.68860968712349,intreatment
392,april,117.66628485983686,intreatment
393,marriage,117.61704276038292,intreatment
394,under,117.20197822266348,intreatment
395,himself,117.10260492623432,intreatment
