,mots,poids,serie
0,be,31737.808817871453,house
1,you,16507.427722396566,house
2,not,11537.361389688784,house
3,to,10088.463062532,house
4,the,9489.7508574497,house
5,it,8036.993343105094,house
6,do,7465.5513859045595,house
7,that,5710.719252979109,house
8,have,5544.4793574547175,house
9,we,4941.611409401893,house
10,she,4595.411264955947,house
11,he,4394.690311822487,house
12,and,4106.017983924327,house
13,get,3661.2917784436645,house
14,of,3541.4232079891503,house
15,what,3378.6400317989774,house
16,your,3329.11102762808,house
17,in,3188.2791911292434,house
18,go,3166.090045058694,house
19,this,2819.8657368269737,house
20,can,2760.7886254036184,house
21,for,2642.95770540364,house
22,if,2568.011894564328,house
23,would,2535.3224223958136,house
24,with,2463.0534717513,house
25,my,2345.8257549258087,house
26,know,2336.184076049393,house
27,just,2272.6314518351564,house
28,think,2228.279448451296,house
29,they,2219.2078499770487,house
30,his,2090.743606426195,house
31,no,2061.3955136979234,house
32,on,1965.0,house
33,will,1939.6035843485158,house
34,want,1927.9855625554276,house
35,so,1867.5115900468809,house
36,about,1736.2060943985705,house
37,there,1731.7991075820678,house
38,could,1704.613707342148,house
39,out,1636.9565684024244,house
40,her,1610.5720815227198,house
41,why,1597.6419098237893,house
42,need,1568.858742107364,house
43,make,1519.5912873049335,house
44,but,1493.856063232607,house
45,say,1480.9689368571055,house
46,like,1440.7323171071987,house
47,tell,1436.3673674145437,house
48,up,1374.4585650799045,house
49,right,1364.7189141733281,house
50,here,1325.232277505289,house
51,how,1292.5043486855486,house
52,house,1262.741552715401,house
53,ve,1252.3135097695938,house
54,one,1249.0458641221937,house
55,mean,1244.9972188461973,house
56,all,1237.2802135522202,house
57,cuddy,1221.0391463543267,house
58,because,1219.0822412464734,house
59,well,1181.3318815071386,house
60,at,1168.8417924135897,house
61,take,1136.2114134819049,house
62,see,1086.1242514904736,house
63,an,1058.0,house
64,good,1049.3933874564518,house
65,or,1030.5369462944413,house
66,who,1009.3942702329781,house
67,give,998.2820606534127,house
68,from,948.8080257362113,house
69,when,946.1096453658051,house
70,now,944.4077674923478,house
71,work,939.2011277826406,house
72,should,933.6442760296272,house
73,come,907.8111367311935,house
74,something,882.8736945126102,house
75,which,846.3588323740536,house
76,back,828.2468587224085,house
77,some,807.3769729294515,house
78,more,804.3681695138655,house
79,patient,798.8556705184171,house
80,then,795.3676292157852,house
81,time,781.5879239956942,house
82,thing,781.3253593477011,house
83,look,766.4969893877272,house
84,find,765.9774301868953,house
85,wrong,760.4879648685221,house
86,guy,707.8826861390145,house
87,any,703.1288761261369,house
88,really,685.6274799550945,house
89,let,677.3044886741824,house
90,heart,674.1729216964987,house
91,try,672.8418859232979,house
92,okay,666.931895762072,house
93,other,666.6202035144577,house
94,people,651.6923662737642,house
95,sorry,646.9002014448079,house
96,maybe,640.9606938767319,house
97,talk,638.7539913736035,house
98,kutner,634.9403561042499,house
99,only,628.1471420950613,house
100,as,624.0,house
101,start,620.4657101392735,house
102,feel,616.738526969379,house
103,too,611.1399742422016,house
104,cause,610.0,house
105,by,608.5926208652895,house
106,brain,598.961635218561,house
107,two,595.3831677846605,house
108,leave,583.8892952024008,house
109,than,582.2983161963997,house
110,blood,579.6069534582059,house
111,never,577.672260373281,house
112,symptom,577.5020255884825,house
113,still,571.9146410471068,house
114,die,571.5976057780898,house
115,into,569.1861906000552,house
116,doctor,567.062356242674,house
117,nothing,566.2528287983051,house
118,way,565.8545383866639,house
119,off,559.3262189168665,house
120,life,559.234122700599,house
121,year,556.4153284215275,house
122,where,548.9750092433369,house
123,foreman,542.804343009447,house
124,drug,536.1953419958633,house
125,down,535.3687826162965,house
126,anything,534.4989435274756,house
127,call,533.269924917194,house
128,taub,529.0753562967818,house
129,test,523.4315859337736,house
130,our,522.6583075557427,house
131,even,519.4898494193733,house
132,keep,514.7384178698059,house
133,bad,503.6993352770012,house
134,ask,497.0715585166492,house
135,help,487.1981520648672,house
136,liver,464.2700597988714,house
137,over,462.99404333895916,house
138,care,460.88886030804156,house
139,yeah,454.46276637956214,house
140,before,449.57985583162133,house
141,biopsy,446.3879104255837,house
142,use,437.82793443965465,house
143,happen,427.0892643018074,house
144,lung,426.16400372528267,house
145,actually,419.453377635079,house
146,someone,418.42747857828726,house
147,kill,416.29850570433086,house
148,explain,416.0618151405263,house
149,everything,413.654541560284,house
150,put,408.42769777365805,house
151,lie,402.8895521871025,house
152,else,400.1840056912585,house
153,day,399.0767681206065,house
154,might,397.1376059601329,house
155,love,388.59932348869097,house
156,kidney,383.22370408549193,house
157,yes,381.3993942445189,house
158,wilson,381.18980552892197,house
159,thank,375.97863515078154,house
160,fine,369.6444343221874,house
161,wait,363.08414902008815,house
162,last,361.7936342929223,house
163,sure,361.3370235269324,house
164,much,360.79203827708676,house
165,three,357.5540587987863,house
166,idea,354.80495742508595,house
167,run,353.79190066609357,house
168,god,353.1079768501557,house
169,move,343.37180029110635,house
170,little,341.5879087199862,house
171,kid,339.2694277116225,house
172,pain,339.2317881363841,house
173,cancer,337.1603119593704,house
174,already,334.79374748879246,house
175,either,334.45586437170056,house
176,problem,334.11414197221694,house
177,again,333.2099526678051,house
178,reason,331.4624664192522,house
179,their,330.2909698038261,house
180,every,329.52884718950565,house
181,screw,326.73670491375077,house
182,enough,325.2449012759918,house
183,also,320.4803469383659,house
184,fire,312.99480243695984,house
185,hour,309.8753556952718,house
186,hear,309.8560985676062,house
187,stop,309.5136988654132,house
188,tumor,309.1744840951391,house
