,mots,poids,serie
0,be,2333.641268128726,fearitself
1,you,1424.7043997697306,fearitself
2,not,716.0525887419011,fearitself
3,to,700.9726509795015,fearitself
4,do,618.330465499219,fearitself
5,it,616.2070632394742,fearitself
6,the,608.2265399730479,fearitself
7,what,504.65762500288525,fearitself
8,that,487.1187735445606,fearitself
9,we,454.4170221806578,fearitself
10,go,353.7601612220167,fearitself
11,get,345.34846909778946,fearitself
12,he,342.3758258559314,fearitself
13,have,319.16218770665364,fearitself
14,and,312.39058340054277,fearitself
15,just,283.90149304624066,fearitself
16,know,272.091570535496,fearitself
17,this,268.5586416025689,fearitself
18,of,252.41944278692088,fearitself
19,your,236.83788259251213,fearitself
20,they,228.73746440036476,fearitself
21,my,226.71947240344412,fearitself
22,here,220.61846181201707,fearitself
23,no,220.4579546071649,fearitself
24,in,214.1050396269812,fearitself
25,say,191.34367566536133,fearitself
26,come,187.19206385309883,fearitself
27,tell,184.473086704173,fearitself
28,on,183.0,fearitself
29,will,178.04954778199266,fearitself
30,so,172.89232942388463,fearitself
31,can,171.52016807925062,fearitself
32,right,166.5782325250759,fearitself
33,out,164.07139285441286,fearitself
34,all,162.7346465615872,fearitself
35,want,161.17713699707,fearitself
36,for,160.1792548729479,fearitself
37,there,156.14582117543236,fearitself
38,she,155.8507148495361,fearitself
39,with,149.19066743179303,fearitself
40,think,143.75996441621265,fearitself
41,see,140.87804098830412,fearitself
42,ok,129.397461994822,fearitself
43,like,123.65566793534839,fearitself
44,would,121.4053647540284,fearitself
45,up,120.76832580199998,fearitself
46,how,119.14567508303192,fearitself
47,now,118.4119830800803,fearitself
48,but,117.93600499204793,fearitself
49,well,115.63301485651886,fearitself
50,about,115.06735021601264,fearitself
51,make,111.11635895312756,fearitself
52,please,106.11530460700614,fearitself
53,help,102.485048168985,fearitself
54,if,100.64996227295799,fearitself
55,take,98.670991170797,fearitself
56,at,98.10422718099674,fearitself
57,why,98.00529729201435,fearitself
58,yeah,97.96802149499544,fearitself
59,let,95.49846369592592,fearitself
60,look,93.44444351679047,fearitself
61,thing,92.10122114118285,fearitself
62,one,91.14312060912205,fearitself
63,really,87.90095896860186,fearitself
64,something,85.94345698795321,fearitself
65,oh,85.33932180791068,fearitself
66,ve,82.99355804390208,fearitself
67,who,82.66591006218356,fearitself
68,where,81.44134752511042,fearitself
69,harry,78.98467903227167,fearitself
70,back,78.6310308913679,fearitself
71,need,76.56780713472195,fearitself
72,sorry,74.26150271687845,fearitself
73,happen,73.91929574454359,fearitself
74,hear,73.85171261196832,fearitself
75,mean,73.51716568283065,fearitself
76,god,72.78980224542684,fearitself
77,when,70.4549735910706,fearitself
78,kid,70.29907060691276,fearitself
79,his,69.38308428405514,fearitself
80,some,66.89250450089868,fearitself
81,bobby,65.33686486134289,fearitself
82,our,64.18610794544209,fearitself
83,good,62.85429143619372,fearitself
84,bad,58.119154070423214,fearitself
85,eat,56.966459871330535,fearitself
86,carlos,56.42557606166752,fearitself
87,could,54.936905853568305,fearitself
88,from,54.65806942941247,fearitself
89,steinwitz,54.268406504636744,fearitself
90,mattingley,54.268406504636744,fearitself
91,never,54.20517188489232,fearitself
92,time,54.109933199701906,fearitself
93,grady,53.98366346128121,fearitself
94,brother,53.89230326572744,fearitself
95,guy,53.89230326572744,fearitself
96,over,53.7403800304149,fearitself
97,give,53.367279972037785,fearitself
98,house,53.256580469683946,fearitself
99,family,53.018617576243486,fearitself
100,call,52.362421568096565,fearitself
101,down,51.85509150995542,fearitself
102,love,51.273521849202275,fearitself
103,brodigan,48.84156585417307,fearitself
104,kill,47.79723584012687,fearitself
105,lemon,47.63542978620035,fearitself
106,then,46.878249266156296,fearitself
107,rowdy,46.553181479549465,fearitself
108,wait,46.42171768293364,fearitself
109,people,46.24913567104132,fearitself
110,find,45.51915056438517,fearitself
111,hell,45.444529351065846,fearitself
112,year,45.158345495080496,fearitself
113,hey,44.538692703740956,fearitself
114,thank,43.945554757883556,fearitself
115,tracy,43.842775811527616,fearitself
116,baby,43.24806658501154,fearitself
117,leave,42.95643316202949,fearitself
118,keep,42.76288394610695,fearitself
119,mahoney,41.27557666333413,fearitself
120,anything,40.994019267594005,fearitself
121,because,40.69032847952181,fearitself
122,listen,40.504454017333856,fearitself
123,off,40.259984909183196,fearitself
124,stay,39.95498134936448,fearitself
125,navarro,39.39115355961878,fearitself
126,an,39.0,fearitself
127,james,38.572599927172455,fearitself
128,check,38.490835805304805,fearitself
129,meryl,38.29023551549197,fearitself
130,even,38.01145239653951,fearitself
131,dennis,37.703450525192466,fearitself
132,should,37.6073876509307,fearitself
133,name,37.502599412925036,fearitself
134,sure,37.16609384848448,fearitself
135,talk,37.05069555531343,fearitself
136,day,37.00049505753968,fearitself
137,work,36.92585630598416,fearitself
138,ruthie,35.525776804402,fearitself
139,or,35.31435018454472,fearitself
140,try,35.16038358744075,fearitself
141,as,35.0,fearitself
142,little,34.80329636014954,fearitself
143,die,34.687981353287775,fearitself
144,man,34.52801350557906,fearitself
145,mellor,34.412105186883785,fearitself
146,inside,34.337180029110634,fearitself
147,us,33.6781335573342,fearitself
148,wrong,33.41055912602294,fearitself
149,damn,33.312810695402234,fearitself
150,understand,33.15836977352403,fearitself
151,into,33.11055402382593,fearitself
152,way,32.99799683896312,fearitself
153,only,32.74700740779941,fearitself
154,yes,31.533020783995656,fearitself
155,eddie,31.500451284847827,fearitself
156,life,31.295340199790207,fearitself
157,nothing,31.112792791115666,fearitself
158,before,31.112792791115666,fearitself
159,ask,31.066972407290574,fearitself
160,maybe,31.066972407290574,fearitself
161,any,30.924649644436574,fearitself
162,rory,30.909694371961212,fearitself
163,father,30.64316301451891,fearitself
164,wanna,30.64316301451891,fearitself
165,again,30.430132663726496,fearitself
166,everything,30.22860111402075,fearitself
167,someone,30.22860111402075,fearitself
168,home,30.14189517502436,fearitself
169,hello,30.05888113363289,fearitself
170,away,30.031448365710148,fearitself
171,fine,29.571554745774996,fearitself
172,bumblebee,29.56007492296417,fearitself
173,feel,29.295080031045504,fearitself
174,lose,29.030364961123176,fearitself
175,live,28.880971482946414,fearitself
176,stop,28.791971987480295,fearitself
177,more,28.781535255675035,fearitself
178,marty,28.05130106915841,fearitself
179,her,28.00994924387339,fearitself
180,ever,27.046643102018567,fearitself
181,care,26.924778780882153,fearitself
182,mom,26.650248556321788,fearitself
183,tara,26.5603698245432,fearitself
184,note,26.22473468000683,fearitself
185,pretty,26.21138739619861,fearitself
186,while,26.161660974560483,fearitself
187,start,25.98009131125037,fearitself
188,very,25.804768854331712,fearitself
189,great,25.75189996560398,fearitself
190,silverarrow,25.69579289005947,fearitself
191,kind,25.57118806359327,fearitself
192,last,25.415255301568923,fearitself
193,night,25.317425676589895,fearitself
194,derek,24.963675790868002,fearitself
195,promise,24.868777330143022,fearitself
196,much,24.66954107877516,fearitself
197,use,24.414197087713084,fearitself
198,hurt,23.97298880961869,fearitself
199,big,23.854682917328297,fearitself
200,old,23.724421811548076,fearitself
201,uncle,23.374846565452764,fearitself
202,dad,22.997114231635784,fearitself
203,play,22.93815451148523,fearitself
204,believe,22.891453352740424,fearitself
205,sandra,22.828220033107584,fearitself
206,neighbor,22.805761510170154,fearitself
207,put,22.52358627428261,fearitself
208,other,22.27370608401529,fearitself
209,hold,22.234472033304357,fearitself
210,own,22.073702682550618,fearitself
211,tonight,22.073702682550618,fearitself
212,happy,21.91318659713119,fearitself
213,must,21.778954953780964,fearitself
214,wife,21.55294035279062,fearitself
215,move,21.256349541830392,fearitself
216,everyone,21.15897080935134,fearitself
217,these,21.055468580645808,fearitself
218,too,21.022013855997105,fearitself
219,place,21.0,fearitself
220,boy,20.954893921602455,fearitself
221,friend,20.83900471405417,fearitself
222,sarge,20.790734143496593,fearitself
223,another,20.6827270780142,fearitself
224,daddy,20.589536714792235,fearitself
225,first,20.480010685467438,fearitself
226,still,20.313908015334395,fearitself
227,guess,19.987686417241342,fearitself
228,amazing,19.89502186411442,fearitself
229,sound,19.779586231422222,fearitself
230,bannerman,19.664060106790735,fearitself
231,tim,19.621245730920364,fearitself
232,their,19.621245730920364,fearitself
233,late,19.621245730920364,fearitself
234,by,19.474963867689265,fearitself
235,honey,19.44213792832025,fearitself
236,else,19.44213792832025,fearitself
237,body,19.266361688762984,fearitself
238,arlene,19.15949057373948,fearitself
239,remember,19.091748072013107,fearitself
240,lemuel,18.934773879614916,fearitself
241,nice,18.835510578366275,fearitself
242,run,18.77263146391517,fearitself
243,through,18.58463036053451,fearitself
244,community,18.52624104669878,fearitself
245,already,18.32204588247123,fearitself
246,helen,18.159227378194498,fearitself
247,those,18.152811775236955,fearitself
248,soon,18.069161181999544,fearitself
249,long,18.0,fearitself
250,same,17.903744530989595,fearitself
251,got,17.784333866550448,fearitself
252,save,17.740778587353052,fearitself
253,dinner,17.66019214634025,fearitself
254,dead,17.63048560540171,fearitself
255,problem,17.46241160133538,fearitself
256,door,17.265884696835755,fearitself
257,scare,17.214318943985273,fearitself
258,lot,17.114368145140425,fearitself
259,scott,17.0359111638233,fearitself
260,eater,17.019440910107086,fearitself
261,report,16.960309491657924,fearitself
262,always,16.656405347701117,fearitself
263,ready,16.579184886762015,fearitself
264,number,16.579184886762015,fearitself
265,whatever,16.579184886762015,fearitself
266,blood,16.517296601140583,fearitself
267,enough,16.426510165454133,fearitself
268,candace,16.33678200555151,fearitself
269,bemmel,16.280521951391023,fearitself
270,pribble,16.280521951391023,fearitself
271,might,16.276131391808725,fearitself
272,head,16.231566250704716,fearitself
273,helena,16.148080365637274,fearitself
274,mpm,16.148080365637274,fearitself
275,after,16.091436967152987,fearitself
276,meet,15.909790060010922,fearitself
277,sit,15.909790060010922,fearitself
278,cut,15.909790060010922,fearitself
279,phone,15.766930487536154,fearitself
280,every,15.766930487536154,fearitself
281,wonder,15.68145162438344,fearitself
282,around,15.556396395557833,fearitself
283,huh,15.286199522896744,fearitself
284,gun,15.282406653676688,fearitself
285,bear,15.215066331863248,fearitself
286,later,15.131392674058734,fearitself
287,few,15.060804076909498,fearitself
288,wretch,15.011456867568011,fearitself
289,cause,15.0,fearitself
290,somebody,14.990764812931006,fearitself
291,actually,14.921266398085814,fearitself
292,show,14.832452392455036,fearitself
293,forget,14.783859148908718,fearitself
294,hand,14.692071337834758,fearitself
295,watch,14.648518252627852,fearitself
296,sign,14.648518252627852,fearitself
297,two,14.628579061048171,fearitself
298,sam,14.59651498652554,fearitself
299,uh,14.535908772604873,fearitself
300,anyone,14.515182480561588,fearitself
301,eye,14.440485741473207,fearitself
302,doing,14.17950288161063,fearitself
303,wedding,14.106232034672221,fearitself
304,heart,14.074591267150288,fearitself
305,phil,14.063474779846889,fearitself
306,today,14.00075675600205,fearitself
307,walk,13.938472770400884,fearitself
308,officer,13.837299148280342,fearitself
309,common,13.837299148280342,fearitself
310,cold,13.815183171177427,fearitself
311,pay,13.779584623183307,fearitself
312,windigo,13.73862837022941,fearitself
313,ydy,13.727733233647635,fearitself
314,richard,13.72161344634005,fearitself
315,sick,13.706148670074931,fearitself
316,anywhere,13.706148670074931,fearitself
317,kathy,13.66174618249455,fearitself
318,couple,13.63686203360355,fearitself
319,bitch,13.450126821385542,fearitself
320,stupid,13.387381401697333,fearitself
321,person,13.325124278160894,fearitself
322,probably,13.325124278160894,fearitself
323,car,13.31453147163174,fearitself
324,hour,13.280372386940222,fearitself
325,worry,13.263347909409612,fearitself
326,change,13.208839832549486,fearitself
327,idea,13.202044927445058,fearitself
328,courtney,13.06714966851819,fearitself
329,open,12.996437167325887,fearitself
330,without,12.961425285546834,fearitself
331,com,12.944586809585687,fearitself
332,bring,12.902384427165856,fearitself
333,game,12.775567187080828,fearitself
334,tomorrow,12.727832048008738,fearitself
335,bender,12.590598769496566,fearitself
336,room,12.559988017878394,fearitself
337,easy,12.557007052244185,fearitself
338,mother,12.500866470975012,fearitself
339,infected,12.497022229878514,fearitself
340,mind,12.389753573689674,fearitself
341,woman,12.297578759255293,fearitself
342,sister,12.172053065490598,fearitself
343,death,12.118541160284225,fearitself
344,minute,12.096000512004917,fearitself
345,ron,11.957120675871167,fearitself
346,anybody,11.824197225262141,fearitself
347,sometimes,11.76886096871235,fearitself
348,exactly,11.76886096871235,fearitself
349,sfile,11.767736002702694,fearitself
350,yet,11.713958726485167,fearitself
351,catch,11.702863248838536,fearitself
352,human,11.659483743390782,fearitself
353,scared,11.60542942073341,fearitself
354,read,11.60542942073341,fearitself
355,apart,11.551789311514426,fearitself
356,speak,11.551789311514426,fearitself
357,until,11.551789311514426,fearitself
358,mountain,11.498557115817892,fearitself
359,safe,11.445726676370212,fearitself
360,nobody,11.393291974266106,fearitself
361,shut,11.393291974266106,fearitself
362,www,11.36381209315283,fearitself
363,hope,11.356059721849626,fearitself
364,beautiful,11.289586373770124,fearitself
365,may,11.25967301372023,fearitself
366,sleep,11.238304093125613,fearitself
367,them,11.187394777822055,fearitself
368,barn,11.174967489916963,fearitself
369,pick,11.164433793669684,fearitself
370,owner,11.059930272045385,fearitself
371,fear,10.987381170713661,fearitself
372,reverend,10.973597994227264,fearitself
373,season01,10.905243543706858,fearitself
374,girl,10.86599650758811,fearitself
375,longway,10.853681300927349,fearitself
376,once,10.74935511071759,fearitself
377,victim,10.631176488152516,fearitself
378,light,10.571570016439908,fearitself
379,break,10.527734290322904,fearitself
380,bye,10.477446960801228,fearitself
381,real,10.46510512417544,fearitself
382,screw,10.427767178098428,fearitself
383,suck,10.427767178098428,fearitself
384,diego,10.427767178098428,fearitself
385,upstairs,10.377974361210256,fearitself
386,virginia,10.35552821439138,fearitself
387,cajun,10.303231457320404,fearitself
388,punkin,10.278317156023787,fearitself
389,teach,10.231028241160482,fearitself
390,yo,10.185436088681232,fearitself
391,previous,10.18408284699822,fearitself
392,grow,10.182835210976897,fearitself
393,dress,10.182835210976897,fearitself
394,chrissy,10.169876169607903,fearitself
395,meredith,10.145875570270038,fearitself
396,either,10.135026193081835,fearitself
397,marry,10.135026193081835,fearitself
398,hungry,10.135026193081835,fearitself
399,cop,10.087595116039157,fearitself
400,10,10.080000426670763,fearitself
401,sheriff,10.072967163074669,fearitself
402,husband,10.040536051273,fearitself
403,swear,10.040536051273,fearitself
404,fact,10.040536051273,fearitself
405,outside,10.040536051273,fearitself
406,son,10.039920212695375,fearitself
407,party,10.024261985490696,fearitself
408,set,10.02191916827515,fearitself
409,case,10.019627044544297,fearitself
410,second,10.0,fearitself
411,since,9.901533695583794,fearitself
412,voice,9.901533695583794,fearitself
413,conceive,9.860039714341458,fearitself
414,murder,9.85590609927248,fearitself
415,stuff,9.810622865460182,fearitself
416,such,9.810622865460182,fearitself
417,finish,9.810622865460182,fearitself
418,yourself,9.810622865460182,fearitself
419,compton,9.802069203330905,fearitself
420,jump,9.765678835085234,fearitself
421,rest,9.765678835085234,fearitself
422,kathleen,9.688848219382365,fearitself
423,everybody,9.676788320374392,fearitself
424,burn,9.676788320374392,fearitself
425,stew,9.59327421634677,fearitself
426,turn,9.589195523847476,fearitself
427,hi,9.564783479420784,fearitself
428,than,9.545874036006554,fearitself
429,child,9.545874036006554,fearitself
430,debra,9.474471327435928,fearitself
431,grace,9.464949497335782,fearitself
432,coffee,9.460158292521694,fearitself
433,road,9.445122445905682,fearitself
434,parent,9.36590405077016,fearitself
435,matter,9.333837837334698,fearitself
436,fire,9.251077904540686,fearitself
437,serial,9.170525284513202,fearitself
438,insane,9.124862866696837,fearitself
439,boot,9.034770339183446,fearitself
440,suppose,9.023076834112842,fearitself
441,playin,8.997277243546868,fearitself
442,cute,8.990325602097217,fearitself
443,spot,8.970090106436091,fearitself
444,school,8.970090106436091,fearitself
445,comin,8.93997399193357,fearitself
446,savagely,8.892022794903896,fearitself
447,killer,8.85358159129348,fearitself
448,suburb,8.825802002027022,fearitself
449,sweet,8.815242802700855,fearitself
450,truck,8.773841573330596,fearitself
451,um,8.701674743387743,fearitself
452,deal,8.695744472756568,fearitself
453,sergeant,8.674976449768769,fearitself
454,church,8.607159471992636,fearitself
455,deserve,8.607159471992636,fearitself
456,breathe,8.607159471992636,fearitself
457,spirit,8.607159471992636,fearitself
458,new,8.56105459019266,fearitself
459,job,8.526939399901,fearitself
460,protect,8.525856867633735,fearitself
461,choose,8.485696009147414,fearitself
462,unless,8.485696009147414,fearitself
463,visit,8.485696009147414,fearitself
464,end,8.459142383973221,fearitself
465,wifey,8.445735692275477,fearitself
466,mr,8.41710071995363,fearitself
467,touch,8.40893375837115,fearitself
468,knock,8.406329263365963,fearitself
469,funny,8.406329263365963,fearitself
470,count,8.367113376060832,fearitself
471,hannibal,8.363349962545247,fearitself
472,disappear,8.328202673850559,fearitself
473,afraid,8.328202673850559,fearitself
474,wear,8.289592443381007,fearitself
475,both,8.289592443381007,fearitself
476,feed,8.289592443381007,fearitself
477,mistake,8.251278079653162,fearitself
478,answer,8.251278079653162,fearitself
479,month,8.251278079653162,fearitself
480,anyway,8.251278079653162,fearitself
481,many,8.251278079653162,fearitself
482,hide,8.251278079653162,fearitself
483,accident,8.226277710708656,fearitself
484,seem,8.213255082727066,fearitself
485,buy,8.17551905455015,fearitself
486,together,8.17551905455015,fearitself
487,jasper,8.156371348084392,fearitself
488,resident,8.100890803466772,fearitself
489,alive,8.06399026697866,fearitself
490,whole,8.027360066518295,fearitself
491,early,8.027360066518295,fearitself
492,point,8.0,fearitself
493,volunteer,7.886304190124973,fearitself
494,dream,7.813041544359383,fearitself
495,chemical,7.802967842513604,fearitself
496,mrs,7.7781981977789165,fearitself
497,crazy,7.7781981977789165,fearitself
498,seriessub,7.761941841844848,fearitself
499,key,7.743595983556046,fearitself
500,prisoner,7.641329689162098,fearitself
501,hit,7.641203326838344,fearitself
502,control,7.641203326838344,fearitself
503,bed,7.641203326838344,fearitself
504,scarf,7.55435926169794,fearitself
505,fall,7.540865511584299,fearitself
506,proctor,7.505728433784006,fearitself
507,lucky,7.475075088696742,fearitself
508,visitor,7.448055380078866,fearitself
509,chelsea,7.395029785756093,fearitself
510,going,7.336420227610561,fearitself
511,government,7.29989029335747,fearitself
512,strength,7.227816271346757,fearitself
513,sean,7.227816271346757,fearitself
514,power,7.189283019496999,fearitself
515,alan,7.157017962949153,fearitself
516,aisle,7.146954638220753,fearitself
517,tray,7.146954638220753,fearitself
518,dare,7.087450992101677,fearitself
519,bastard,7.087450992101677,fearitself
520,dance,7.0673257538762035,fearitself
521,boyfriend,7.0531160173361105,fearitself
522,meat,7.019073258664477,fearitself
523,nervous,6.985317784081018,fearitself
524,realize,6.985317784081018,fearitself
525,avoid,6.985317784081018,fearitself
526,freak,6.985317784081018,fearitself
527,http,6.985317784081018,fearitself
528,business,6.984964640534152,fearitself
529,synchro,6.977771121043553,fearitself
530,affectionate,6.961861002816722,fearitself
531,chris,6.9518447853989525,fearitself
532,itself,6.9518447853989525,fearitself
533,proud,6.88572757759411,fearitself
534,ear,6.88572757759411,fearitself
535,completely,6.88572757759411,fearitself
536,survive,6.853074335037466,fearitself
537,raise,6.853074335037466,fearitself
538,waste,6.853074335037466,fearitself
539,agree,6.820685494106988,fearitself
540,drive,6.8033348260413495,fearitself
541,fill,6.788556807317931,fearitself
542,forward,6.756684128721224,fearitself
543,guest,6.756684128721224,fearitself
544,front,6.736653343557027,fearitself
545,yours,6.725063410692771,fearitself
546,lecter,6.694798217567676,fearitself
547,able,6.693690700848666,fearitself
548,tear,6.693690700848666,fearitself
549,cell,6.6903356664551445,fearitself
550,anymore,6.662562139080447,fearitself
551,steven,6.662562139080447,fearitself
552,skin,6.662562139080447,fearitself
553,choice,6.631673954704806,fearitself
554,answering,6.613154228527166,fearitself
555,along,6.601022463722529,fearitself
556,each,6.5706040661816525,fearitself
557,wake,6.5706040661816525,fearitself
558,none,6.5706040661816525,fearitself
559,fr,6.5706040661816525,fearitself
560,lamb,6.544942551834301,fearitself
561,drink,6.540415243640121,fearitself
562,luck,6.540415243640121,fearitself
563,myself,6.510452556723489,fearitself
564,which,6.510452556723489,fearitself
565,bet,6.510452556723489,fearitself
566,innocent,6.4982113716599414,fearitself
567,doctor,6.480712642773417,fearitself
568,wind,6.480712642773417,fearitself
569,watchin,6.45923214625491,fearitself
570,samantha,6.430278913373707,fearitself
